metric,before_tuning,after_tuning,absolute_change,relative_change_percent
Accuracy,0.7395315826827538,0.8048261178140526,0.06529453513129879,8.829174664107486
Churn Precision,0.5060449050086355,0.6551724137931034,0.1491275087844679,29.469224432152537
Churn Recall,0.7834224598930482,0.5588235294117647,-0.22459893048128343,-28.668941979522184
Churn F1,0.614900314795383,0.6031746031746031,-0.011725711620779844,-1.9069288693862103
ROC-AUC,0.8405926270376398,0.841129969774471,0.0005373427368311479,0.06392427432117923
Average Precision,0.6268976625577385,0.6280810387472916,0.0011833761895531092,0.18876704448457213
Missed Churn Customers,81.0,165.0,84.0,103.7037037037037
False Churn Alerts,286.0,110.0,-176.0,-61.53846153846154
Correctly Identified Churn,293.0,209.0,-84.0,-28.668941979522184
Churn Miss Rate,0.21657754010695188,0.4411764705882353,0.2245989304812834,103.7037037037037
False Alarm Rate,0.2763285024154589,0.10628019323671498,-0.17004830917874394,-61.53846153846153
