metric,before_feature_engineering,after_feature_engineering,absolute_change,relative_change_percent
Accuracy,0.6997870830376153,0.7026259758694109,0.002838892831795614,0.4056795131845863
Churn Precision,0.4648493543758967,0.4675324675324675,0.0026831131565708266,0.5772005772005759
Churn Recall,0.8663101604278075,0.8663101604278075,0.0,0.0
Churn F1,0.6050420168067226,0.6073102155576382,0.002268198750915551,0.3748828491096536
ROC-AUC,0.8420961533493503,0.844922369474799,0.002826216125448755,0.33561679556518254
Average Precision,0.6361373184961211,0.6580112488135013,0.021873930317380164,3.4385548027730652
Missed Churn Customers,50.0,50.0,0.0,0.0
False Churn Alerts,373.0,369.0,-4.0,-1.0723860589812333
Correctly Identified Churn,324.0,324.0,0.0,0.0
Churn Miss Rate,0.13368983957219252,0.13368983957219252,0.0,0.0
False Alarm Rate,0.36038647342995167,0.3565217391304348,-0.003864734299516892,-1.0723860589812289
