metric,before_tuning,after_tuning,absolute_change,relative_change_percent
Accuracy,0.7395315826827538,0.7026259758694109,-0.03690560681334287,-4.990403071017284
Churn Precision,0.5060449050086355,0.4675324675324675,-0.038512437476168004,-7.610478258942416
Churn Recall,0.7834224598930482,0.8663101604278075,0.08288770053475936,10.580204778156995
Churn F1,0.614900314795383,0.6073102155576382,-0.007590099237744785,-1.2343625552168567
ROC-AUC,0.8405926270376398,0.844922369474799,0.004329742437159223,0.5150821334726443
Average Precision,0.6268976625577385,0.6580112488135013,0.03111358625576277,4.96310452471932
Missed Churn Customers,81.0,50.0,-31.0,-38.2716049382716
False Churn Alerts,286.0,369.0,83.0,29.02097902097902
Correctly Identified Churn,293.0,324.0,31.0,10.580204778156997
Churn Miss Rate,0.21657754010695188,0.13368983957219252,-0.08288770053475936,-38.2716049382716
False Alarm Rate,0.2763285024154589,0.3565217391304348,0.08019323671497586,29.020979020979027
