threshold,accuracy,precision,recall,f1,predicted_churn_customers,correctly_identified_churn,missed_churn_customers,false_churn_alerts,true_no_churn,predicted_churn_rate,churn_miss_rate
0.1,0.48403122782114977,0.33851784080512354,0.9893048128342246,0.5044308111792775,1093,370,4,723,312,0.7757274662881476,0.0106951871657754
0.15,0.5436479772888574,0.36563436563436563,0.9786096256684492,0.5323636363636364,1001,366,8,635,400,0.7104329311568488,0.0213903743315508
0.2,0.5833924769339958,0.3858520900321543,0.9625668449197861,0.5508798775822494,933,360,14,573,462,0.6621717530163236,0.0374331550802139
0.25,0.6188786373314408,0.4062140391254315,0.9438502673796791,0.5679806918744972,869,353,21,516,519,0.6167494677075941,0.05614973262032086
0.3,0.6543647977288858,0.42998760842627015,0.9278074866310161,0.5876375952582558,807,347,27,460,575,0.5727466288147622,0.07219251336898395
0.35,0.6749467707594038,0.44502617801047123,0.9090909090909091,0.5975395430579965,764,340,34,424,611,0.5422285308729595,0.09090909090909091
0.4,0.6997870830376153,0.4648493543758967,0.8663101604278075,0.6050420168067226,697,324,50,373,662,0.49467707594038324,0.13368983957219252
0.45,0.716820440028389,0.4806800618238022,0.8315508021390374,0.6092066601371204,647,311,63,336,699,0.4591909155429382,0.16844919786096257
0.5,0.7388218594748048,0.5051369863013698,0.7887700534759359,0.615866388308977,584,295,79,289,746,0.41447835344215755,0.21122994652406418
0.6,0.7643718949609652,0.5433884297520661,0.7032085561497327,0.6130536130536131,484,263,111,221,814,0.3435060326472676,0.2967914438502674
0.7,0.7977288857345636,0.6212534059945504,0.6096256684491979,0.6153846153846154,367,228,146,139,896,0.2604684173172463,0.39037433155080214
0.8,0.7963094393186657,0.7101449275362319,0.393048128342246,0.5060240963855421,207,147,227,60,975,0.14691270404542228,0.606951871657754
